Date,CPI
9/1/2015,237.498
10/1/2015,237.733
11/1/2015,238.017
12/1/2015,237.761
1/1/2016,237.827
2/1/2016,237.514
3/1/2016,237.99
4/1/2016,238.835
5/1/2016,239.44
6/1/2016,240.144
7/1/2016,240.111
8/1/2016,240.595
9/1/2016,241.068
10/1/2016,241.641
11/1/2016,241.993
12/1/2016,242.712
1/1/2017,243.717
2/1/2017,244.028
3/1/2017,243.721
4/1/2017,244.058
5/1/2017,243.926
6/1/2017,244.179
7/1/2017,244.328
8/1/2017,245.304
9/1/2017,246.445
10/1/2017,246.57
11/1/2017,247.333
12/1/2017,247.847
1/1/2018,248.816
2/1/2018,249.475
3/1/2018,249.413
4/1/2018,249.957
5/1/2018,250.64
6/1/2018,251.176
7/1/2018,251.482
8/1/2018,251.905
9/1/2018,252.261
10/1/2018,252.777
11/1/2018,252.662
12/1/2018,252.653
1/1/2019,252.55
2/1/2019,253.181
3/1/2019,254.095
4/1/2019,254.943
5/1/2019,255.167
6/1/2019,255.402
7/1/2019,256.087
8/1/2019,256.294
9/1/2019,256.593
10/1/2019,257.229
11/1/2019,257.824
12/1/2019,258.444
1/1/2020,258.82
2/1/2020,259.05
3/1/2020,257.953
4/1/2020,255.902
5/1/2020,255.768
6/1/2020,257.214
7/1/2020,258.723
