Date,NFP
9/1/2015,142281
10/1/2015,142587
11/1/2015,142824
12/1/2015,143097
1/1/2016,143170
2/1/2016,143433
3/1/2016,143662
4/1/2016,143849
5/1/2016,143891
6/1/2016,144158
7/1/2016,144512
8/1/2016,144647
9/1/2016,144916
10/1/2016,145061
11/1/2016,145212
12/1/2016,145442
1/1/2017,145627
2/1/2017,145815
3/1/2017,145944
4/1/2017,146141
5/1/2017,146296
6/1/2017,146512
7/1/2017,146727
8/1/2017,146911
9/1/2017,146929
10/1/2017,147196
11/1/2017,147421
12/1/2017,147551
1/1/2018,147672
2/1/2018,148078
3/1/2018,148254
4/1/2018,148391
5/1/2018,148669
6/1/2018,148888
7/1/2018,149024
8/1/2018,149268
9/1/2018,149348
10/1/2018,149549
11/1/2018,149683
12/1/2018,149865
1/1/2019,150134
2/1/2019,150135
3/1/2019,150282
4/1/2019,150492
5/1/2019,150577
6/1/2019,150759
7/1/2019,150953
8/1/2019,151160
9/1/2019,151368
10/1/2019,151553
11/1/2019,151814
12/1/2019,151998
1/1/2020,152212
2/1/2020,152463
3/1/2020,151090
4/1/2020,130303
5/1/2020,133028
6/1/2020,137819
7/1/2020,139582
