Date,Open,High,Close,Low,Change %
44012,"9,150.60","9,194.40","9,206.50","9,077.10",-0.48%
44011,"9,194.40","9,127.80","9,242.10","9,030.20",0.73%
44010,"9,127.80","9,015.30","9,193.20","8,949.40",1.25%
44009,"9,015.30","9,173.10","9,199.50","8,857.30",-1.72%
44008,"9,173.10","9,257.00","9,299.00","9,054.10",-0.91%
44007,"9,257.00","9,312.10","9,344.00","9,012.70",-0.59%
44006,"9,312.10","9,635.10","9,684.10","9,222.30",-3.35%
44005,"9,635.10","9,697.70","9,724.00","9,594.70",-0.65%
44004,"9,697.70","9,298.10","9,794.20","9,285.20",4.30%
44003,"9,298.10","9,371.30","9,431.10","9,292.10",-0.78%
44002,"9,371.30","9,315.50","9,401.00","9,178.60",0.60%
44001,"9,315.50","9,400.00","9,439.90","9,241.80",-0.90%
44000,"9,400.00","9,473.30","9,496.40","9,287.20",-0.77%
43999,"9,473.30","9,534.40","9,566.00","9,261.30",-0.64%
43998,"9,534.40","9,435.00","9,589.90","9,388.10",1.07%
43997,"9,433.90","9,344.80","9,510.00","8,914.90",0.95%
43996,"9,345.40","9,480.90","9,486.00","9,262.00",-1.43%
43995,"9,480.80","9,468.30","9,498.20","9,363.60",0.13%
43994,"9,468.30","9,272.20","9,544.00","9,246.00",2.11%
43993,"9,272.20","9,898.80","9,972.80","9,088.60",-6.33%
43992,"9,898.80","9,771.90","10,004.00","9,699.30",1.31%
43991,"9,770.80","9,784.40","9,875.90","9,582.10",-0.13%
43990,"9,783.20","9,747.10","9,800.00","9,650.40",0.38%
43989,"9,746.30","9,668.40","9,814.00","9,402.30",0.81%
43988,"9,668.40","9,620.40","9,733.00","9,552.60",0.50%
43987,"9,620.50","9,790.70","9,861.80","9,620.50",-1.74%
43986,"9,790.70","9,672.00","9,882.10","9,477.00",1.23%
43985,"9,672.00","9,530.00","9,684.00","9,400.00",1.49%
43984,"9,530.00","10,221.00","10,242.00","9,197.40",-6.76%
43983,"10,221.00","9,452.10","10,390.00","9,421.80",8.13%
43982,"9,452.10","9,706.40","9,707.20","9,402.60",-2.62%
43981,"9,706.40","9,426.20","9,742.00","9,338.00",2.97%
43980,"9,426.20","9,589.30","9,618.50","9,352.30",-1.70%
43979,"9,589.30","9,210.30","9,629.60","9,121.70",4.11%
43978,"9,210.30","8,845.50","9,225.00","8,822.80",4.12%
43977,"8,845.50","8,902.00","9,013.30","8,705.00",-0.63%
43976,"8,902.00","8,711.50","8,960.80","8,628.60",2.19%
43975,"8,711.50","9,174.60","9,300.00","8,700.00",-5.05%
43974,"9,174.60","9,162.40","9,304.00","9,088.60",0.13%
43973,"9,162.40","9,059.50","9,257.30","8,935.50",1.14%
43972,"9,059.50","9,502.00","9,564.00","8,821.40",-4.66%
43971,"9,502.00","9,770.10","9,840.60","9,305.10",-2.74%
43970,"9,770.10","9,714.80","9,877.50","9,470.20",0.57%
43969,"9,714.80","9,668.20","9,941.10","9,462.40",0.48%
43968,"9,668.20","9,388.00","9,877.70","9,334.20",2.98%
43967,"9,388.00","9,313.30","9,580.00","9,224.00",0.80%
43966,"9,313.30","9,791.00","9,836.50","9,133.60",-4.88%
43965,"9,791.00","9,312.00","9,937.80","9,267.50",5.14%
43964,"9,312.00","8,811.40","9,403.20","8,799.50",5.68%
43963,"8,811.40","8,555.00","8,967.00","8,526.60",3.00%
43962,"8,555.00","8,726.00","9,135.80","8,211.10",-1.96%
43961,"8,726.00","9,537.70","9,557.50","8,107.40",-8.51%
43960,"9,537.90","9,792.20","9,900.00","9,499.00",-2.60%
43959,"9,792.80","9,991.00","10,025.00","9,713.80",-1.87%
43958,"9,979.60","9,150.40","10,045.00","9,050.00",8.97%
43957,"9,157.90","9,020.00","9,415.10","8,918.30",1.53%
43956,"9,020.10","8,871.20","9,119.80","8,770.90",1.74%
43955,"8,865.80","8,901.60","8,959.00","8,535.00",-0.38%
43954,"8,899.80","8,982.30","9,198.00","8,738.50",-0.92%
43953,"8,982.30","8,822.90","8,999.00","8,763.00",1.81%
43952,"8,822.90","8,630.80","9,069.90","8,630.80",2.17%
43951,"8,635.30","8,773.80","9,438.80","8,416.00",-1.57%
43950,"8,773.30","7,750.70","8,918.00","7,706.10",13.12%
43949,"7,755.80","7,777.60","7,777.70","7,658.60",-0.28%
43948,"7,777.70","7,698.00","7,777.70","7,623.40",1.05%
43947,"7,697.10","7,538.50","7,697.10","7,487.00",2.10%
43946,"7,538.50","7,508.40","7,700.00","7,450.10",0.42%
43945,"7,506.80","7,499.00","7,614.00","7,428.30",0.15%
43944,"7,495.20","7,133.30","7,744.90","7,047.40",5.08%
43943,"7,133.00","6,849.90","7,164.00","6,826.20",4.13%
43942,"6,850.00","6,835.00","6,955.60","6,770.70",0.12%
43941,"6,841.90","7,133.40","7,235.00","6,767.10",-4.09%
43940,"7,133.30","7,268.80","7,285.40","7,058.70",-1.87%
43939,"7,269.10","7,045.90","7,300.10","7,044.90",3.17%
43938,"7,045.80","7,114.70","7,158.90","7,013.40",-0.97%
43937,"7,114.90","6,629.10","7,200.00","6,500.40",7.25%
43936,"6,633.80","6,874.00","6,938.40","6,621.30",-3.47%
43935,"6,872.40","6,847.90","6,984.90","6,762.90",0.35%
43934,"6,848.70","6,916.50","6,916.50","6,576.50",-0.93%
43933,"6,913.00","6,884.50","7,192.20","6,797.60",0.41%
43932,"6,884.50","6,874.30","6,954.40","6,780.00",0.13%
43931,"6,875.50","7,293.70","7,305.80","6,756.40",-5.73%
43930,"7,293.50","7,367.10","7,370.70","7,117.00",-1.00%
43929,"7,367.00","7,203.00","7,420.00","7,155.80",2.28%
43928,"7,203.00","7,340.20","7,452.00","7,088.00",-1.95%
43927,"7,346.00","6,780.20","7,350.10","6,779.90",8.38%
43926,"6,778.00","6,880.60","6,914.70","6,693.40",-1.51%
43925,"6,881.60","6,738.50","7,010.80","6,660.00",2.09%
43924,"6,740.80","6,810.70","7,048.10","6,624.60",-1.14%
43923,"6,818.30","6,685.70","7,263.30","6,591.30",2.15%
43922,"6,675.00","6,429.00","6,714.60","6,180.00",3.85%
43921,"6,427.70","6,409.10","6,536.00","6,350.00",0.31%
43920,"6,407.60","5,893.70","6,627.10","5,880.90",8.74%
43919,"5,892.60","6,252.30","6,279.60","5,892.60",-5.71%
43918,"6,249.30","6,366.00","6,366.00","6,061.40",-1.89%
43917,"6,370.00","6,755.00","6,856.00","6,277.80",-5.64%
43916,"6,750.70","6,688.20","6,790.10","6,536.90",0.93%
43915,"6,688.20","6,762.00","6,968.00","6,449.90",-1.09%
43914,"6,762.00","6,491.20","6,838.50","6,406.10",4.17%
43913,"6,491.20","5,820.10","6,652.40","5,682.70",11.40%
43912,"5,827.00","6,202.70","6,410.60","5,757.30",-6.04%
43911,"6,201.80","6,211.10","6,461.00","5,884.70",-0.06%
43910,"6,205.80","6,173.50","6,897.00","5,687.60",0.52%
43909,"6,173.40","5,417.10","6,412.60","5,266.40",13.98%
43908,"5,416.20","5,339.00","5,452.70","5,033.90",1.33%
43907,"5,345.20","5,068.30","5,564.20","4,964.40",5.67%
43906,"5,058.50","5,381.90","5,381.90","4,468.00",-6.03%
